author,product_name,product_price,product_reviews,product_url
(12 used & new offers),,125,491,https://m.media-amazon.com/images/I/61Osz5yKWKS._AC_UY218_.jpg
Arun Vishwanath,,29,6,https://m.media-amazon.com/images/I/71ti2Aw5mfL._AC_UY218_.jpg
(10 used & new offers),Talk about Data,24,4,https://m.media-amazon.com/images/I/41ItTR7kqyL._AC_UL320_.jpg
Kiko Llaneras,Piensa claro: Ocho reglas para descifrar el mundo y tener éxito en la era de los datos,20,43,https://m.media-amazon.com/images/I/81sZ9h0SWhL._AC_UL320_.jpg
Daniel Jones,"Tableau For Dummies, 2nd Edition (For Dummies (Computer/Tech))",34,13,https://m.media-amazon.com/images/I/81EOs0NJgbL._AC_UL320_.jpg
,,,null,
Ben Taylor,Thinking Basketball,12,209,https://m.media-amazon.com/images/I/41jdTSJr8DL._AC_UL320_.jpg
,Microsoft® PowerPivot for Excel® 2010: Give Your Data Meaning (Business Skills),23,41,https://m.media-amazon.com/images/I/516ad3PeN8L._AC_UL320_.jpg
Michael T. Goodrich,Data Structures Algorithms C++,49,34,https://m.media-amazon.com/images/I/51FdirTk5RL._AC_UL320_.jpg
Adam Aspin,,54,60,https://m.media-amazon.com/images/I/61h6ZuFVD0L._AC_UY218_.jpg
(39 used & new offers),Analytics: How to Win with Intelligence,20,33,https://m.media-amazon.com/images/I/71d9Lp80oKL._AC_UL320_.jpg
Michele di Nuzzo,Data Science e Machine Learning: Dai dati alla conoscenza (Italian Edition),26,32,https://m.media-amazon.com/images/I/61Nyi3q6OAL._AC_UL320_.jpg
(13 used & new offers),PostgreSQL 13 Cookbook: Over 120 recipes to build high-performance and fault-tolerant PostgreSQL database solutions,41,18,https://m.media-amazon.com/images/I/61nPCVbkRML._AC_UL320_.jpg
,,,null,
,,,null,
,,43,56,https://m.media-amazon.com/images/I/51Wddc81HyL._AC_UY218_.jpg
Tyler Mitchell,Web Mapping Illustrated: Using Open Source GIS Toolkits,22,26,https://m.media-amazon.com/images/I/51QzfxeNyUL._AC_UL320_.jpg
(22 used & new offers),"Digital Investigative Journalism: Data, Visual Analytics and Innovative Methodologies in International Reporting",126,4,https://m.media-amazon.com/images/I/71jNdhnxslL._AC_UL320_.jpg
Ankur A. Patel,"Applied Natural Language Processing in the Enterprise: Teaching Machines to Read, Write, and Understand",38,13,https://m.media-amazon.com/images/I/81WDYuqc5RS._AC_UL320_.jpg
Tomas Mildorf,,31,"3,971",https://m.media-amazon.com/images/I/61FPgCMmXGL._AC_UY218_.jpg
(11 used & new offers),Expert Scripting and Automation for SQL Server DBAs,64,27,https://m.media-amazon.com/images/I/61T7zGsiPRL._AC_UL320_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
Christian Rudder,,21,583,https://m.media-amazon.com/images/I/519eV1eNJlL._AC_UY218_.jpg
,R for SAS and SPSS Users (Statistics and Computing),75,24,https://m.media-amazon.com/images/I/51zvnx84OAL._AC_UL320_.jpg
(27 used & new offers),,59,"1,096",https://m.media-amazon.com/images/I/81Frbo1J+kL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
Jenny Goldstein,,27,1,https://m.media-amazon.com/images/I/71geqkvHZtL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
James Bridle,,13,178,https://m.media-amazon.com/images/I/61tUCS9KdRL._AC_UY218_.jpg
,,,null,
Jason M. Breshears,,23,18,https://m.media-amazon.com/images/I/61Fe2pdOTOL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
(24 used & new offers),,31,2,https://m.media-amazon.com/images/I/51QhLwnP+rL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
Thomas J Glover,,15,5,https://m.media-amazon.com/images/I/612iNwB1ntL._AC_UY218_.jpg
Peter Bloom,,22,1,https://m.media-amazon.com/images/I/61ugqWMFm-L._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
Alex Campbell,,14,9,https://m.media-amazon.com/images/I/61IuzmmIiIL._AC_UY218_.jpg
Andrew Blum,,23,200,https://m.media-amazon.com/images/I/81Dagkm3SiL._AC_UY218_.jpg
Anna Rhodes,,31,10,https://m.media-amazon.com/images/I/71meQq8te+L._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
Mark Roberge,,16,703,https://m.media-amazon.com/images/I/51XqxRrTWwL._AC_UY218_.jpg
,,,null,
,,,null,
,,11,62,https://m.media-amazon.com/images/I/91tR+8w6LCL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,13,"1,497",https://m.media-amazon.com/images/I/81J4xjPVJOL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
Kent Heckenlively,,15,"8,072",https://m.media-amazon.com/images/I/71gFfqH5uCL._AC_UY218_.jpg
,,,null,
,,,null,
Giacomo Marzi,,66,21,https://m.media-amazon.com/images/I/61bcW11CpzL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
Jillur Quddus,,2,1,https://m.media-amazon.com/images/I/51GNwW2pnGL._AC_UY218_.jpg
Leonard Apeltsin,,59,8,https://m.media-amazon.com/images/I/71Zb98PMnML._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
(49 used & new offers),,12,50,https://m.media-amazon.com/images/I/81WQN3CA4WL._AC_UY218_.jpg
,,,null,
,,132,"1,851",https://m.media-amazon.com/images/I/61LTXAFn0ZL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
,,,null,
,,,null,
Bernard Marr,,24,115,https://m.media-amazon.com/images/I/51JEfrA9OHL._AC_UY218_.jpg
,,,null,
Kim Falk,,49,38,https://m.media-amazon.com/images/I/71fR9+7fnDL._AC_UY218_.jpg
,,,null,
,,,null,
Perry Beaumont,,49,148,https://m.media-amazon.com/images/I/71h89+8kP8L._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
Lillian Pierson,,0,205,https://m.media-amazon.com/images/I/71j0QuAKReL._AC_UY218_.jpg
,,,null,
,,,null,
Thomas H. Davenport,Competing on Analytics: The New Science of Winning,18,208,https://m.media-amazon.com/images/I/71oRSectoyL._AC_UL320_.jpg
(60 used & new offers),,59,616,https://m.media-amazon.com/images/I/81dNnfM4m6L._AC_UY218_.jpg
Dinesh D'Souza,,339,145,https://m.media-amazon.com/images/I/71pauzCLQVL._AC_UY218_.jpg
Wallace Jackson,Android Apps for Absolute Beginners,13,24,https://m.media-amazon.com/images/I/51QUrt65yHL._AC_UL320_.jpg
,,,null,
,,,null,
(10 used & new offers),Big Data Analytics for Time-Critical Mobility Forecasting: From Raw Data to Trajectory-Oriented Mobility Analytics in the Aviation and Maritime Domains,167,1,https://m.media-amazon.com/images/I/616CrRKfuaS._AC_UL320_.jpg
,,,null,
,,16,1,https://m.media-amazon.com/images/I/71GeheRoidL._AC_UY218_.jpg
Jiawei Han,"Data Mining: Concepts and Techniques, Second Edition (The Morgan Kaufmann Series in Data Management Systems)",9,25,https://m.media-amazon.com/images/I/51p2+nh-64L._AC_UL320_.jpg
Ian Robinson,Graph Databases,69,29,https://m.media-amazon.com/images/I/51PvIGCwzYL._AC_UL320_.jpg
Kaiser Fung,,19,33,https://m.media-amazon.com/images/I/618rl-4tVQL._AC_UY218_.jpg
(27 used & new offers),Business unIntelligence: Insight and Innovation beyond Analytics and Big Data,31,26,https://m.media-amazon.com/images/I/71q5LYSM6xL._AC_UL320_.jpg
,,,null,
Violet Blue,,17,38,https://m.media-amazon.com/images/I/91hcmi4c4vL._AC_UY218_.jpg
(22 used & new offers),Developing Information Systems: Practical guidance for IT professionals,18,28,https://m.media-amazon.com/images/I/612FB1WgjjL._AC_UL320_.jpg
Alberto Ferrari,Expert Cube Development with SSAS Multidimensional Models,51,30,https://m.media-amazon.com/images/I/71yxeRNr0FL._AC_UL320_.jpg
Allen G. Taylor,SQL All-in-One For Dummies,19,790,https://m.media-amazon.com/images/I/71m02dmSd3L._AC_UL320_.jpg
(11 used & new offers),"Hands-on MuleSoft Anypoint Platform Volume 3: Implement various connectors including Database, File, SOAP, Email, VM, JMS, AMQP, Scripting, SFTP, LDAP, Java and ObjectStore (English Edition)",29,34,https://m.media-amazon.com/images/I/81UsFjkFFkL._AC_UL320_.jpg
Syed Muhammad Fahad Akhtar,,34,11,https://m.media-amazon.com/images/I/81OH7FufSzL._AC_UY218_.jpg
,,,null,
Allen G. Taylor,SQL All-in-One For Dummies,19,790,https://m.media-amazon.com/images/I/71m02dmSd3L._AC_UL320_.jpg
Hien Luu,,39,3,https://m.media-amazon.com/images/I/61edkdmCwwL._AC_UY218_.jpg
,,,null,
,,126,1,https://m.media-amazon.com/images/I/61SViQWKfjL._AC_UY218_.jpg
David Mertz,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",39,28,https://m.media-amazon.com/images/I/71b6GGHdgEL._AC_UL320_.jpg
Michael Loban,"Crawl, Walk, Run: Advancing Analytics Maturity with Google Marketing Platform",15,31,https://m.media-amazon.com/images/I/61QMhG-mYhL._AC_UL320_.jpg
Kristin H. Jarman,The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,63,29,https://m.media-amazon.com/images/I/414UYYk24NL._AC_UL320_.jpg
,,,null,
,,,null,
Michael Minelli,"Big Data, Big Analytics",31,67,https://m.media-amazon.com/images/I/51MINAVEKoL._AC_UL320_.jpg
,,,null,
(26 used & new offers),,33,35,https://m.media-amazon.com/images/I/61HUvpZJl8L._AC_UY218_.jpg
(21 used & new offers),A Simple Introduction to DATA SCIENCE,12,31,https://m.media-amazon.com/images/I/51kToeoEchL._AC_UL320_.jpg
,,,null,
(20 used & new offers),Algorithmic Finance: A Companion To Data Science,119,2,https://m.media-amazon.com/images/I/512JvkrHecL._AC_UL320_.jpg
Scott Berinato,,22,63,https://m.media-amazon.com/images/I/71pEmAAXEaL._AC_UY218_.jpg
(50 used & new offers),,8,2,https://m.media-amazon.com/images/I/41j7PUXw2ML._AC_UY218_.jpg
Jordan Goldmeier,Advanced Excel Essentials,57,32,https://m.media-amazon.com/images/I/61Jf4wEYY2L._AC_UL320_.jpg
Zach Vorhies,,14,218,https://m.media-amazon.com/images/I/71Jfl7KG5wL._AC_UY218_.jpg
(26 used & new offers),Conversion Rate Optimization: Using Neuroscience And Data To Boost Web Conversions,16,8,https://m.media-amazon.com/images/I/61NENPtTFBL._AC_UL320_.jpg
,,,null,
,,,null,
Herbert Jones,"Data Analytics: An Essential Beginner’s Guide To Data Mining, Data Collection, Big Data Analytics For Business, And Business Intelligence Concepts",13,17,https://m.media-amazon.com/images/I/71cbRSQW63L._AC_UL320_.jpg
(25 used & new offers),,27,13,https://m.media-amazon.com/images/I/41Ksu7p7XPL._AC_UY218_.jpg
Simon Rogers,A First Course in Machine Learning (Chapman & Hall/CRC Machine Learning & Pattern Recognition),88,37,https://m.media-amazon.com/images/I/41+8RVujzRL._AC_UL320_.jpg
,,,null,
Jeff Friesen,Learn Java for Android Development,15,35,https://m.media-amazon.com/images/I/61LRr5FhvML._AC_UL320_.jpg
(12 used & new offers),Gold Refining,39,13,https://m.media-amazon.com/images/I/61fIjxBr3rL._AC_UL320_.jpg
(19 used & new offers),,99,28,https://m.media-amazon.com/images/I/51rb4H9vRCL._AC_UY218_.jpg
Daniel Jones,Power BI: 4 in 1- Beginner's Guide+ Tips and Tricks+ Simple and Effective Strategies to learn Power Bi and Power Query+ An Advanced Guide to Learn the Advanced Realms of Power BI,39,36,https://m.media-amazon.com/images/I/61TRDfE2w5L._AC_UL320_.jpg
,,5,"1,922",https://m.media-amazon.com/images/I/61xinx4kJOL._AC_UY218_.jpg
,Data Center for Beginners: A beginner's guide towards understanding Data Center Design (Data Center Design Guide),11,59,https://m.media-amazon.com/images/I/519ZY+KxJxL._AC_UL320_.jpg
,,,null,
,,,null,
,,,null,
Andrie de Vries,R For Dummies,17,493,https://m.media-amazon.com/images/I/81UMA3DFf7L._AC_UL320_.jpg
Wilfried Lemahieu,,32,42,https://m.media-amazon.com/images/I/71KeBNqhzJL._AC_UY218_.jpg
Craig Berg,"Mastering PostgreSQL 13: Build, administer, and maintain database applications efficiently with PostgreSQL 13, 4th Edition",41,38,https://m.media-amazon.com/images/I/71t+lAU0lHL._AC_UL320_.jpg
David Mertz,,39,28,https://m.media-amazon.com/images/I/71b6GGHdgEL._AC_UY218_.jpg
Max Marchi,Analyzing Baseball Data with R (Chapman & Hall/CRC The R Series),39,44,https://m.media-amazon.com/images/I/61ZxD2vor6L._AC_UL320_.jpg
,,,null,
,,,null,
Greg Deckler,"Learn Power BI: A comprehensive, step-by-step guide for beginners to learn real-world business intelligence, 2nd Edition",37,39,https://m.media-amazon.com/images/I/61+bOHxgOoL._AC_UL320_.jpg
,,,null,
(12 used & new offers),,39,11,https://m.media-amazon.com/images/I/41hSekrUm7L._AC_UY218_.jpg
W. Craig Tomlin,,49,12,https://m.media-amazon.com/images/I/61Fh2PdkvHL._AC_UY218_.jpg
Uri Laserson,Advanced Analytics with Spark: Patterns for Learning from Data at Scale,47,44,https://m.media-amazon.com/images/I/71c6xOiCIHL._AC_UL320_.jpg
Christopher Adamson,Star Schema The Complete Reference,28,184,https://m.media-amazon.com/images/I/41J-gRCFiwL._AC_UL320_.jpg
,,,null,
,,,null,
Seth Stephens-Davidowitz,Big Data Analytics,7,1,https://m.media-amazon.com/images/I/61PsVFO9WYL._AC_UL320_.jpg
Guy Harrison,"Air Quality Networks: Data Analysis, Calibration & Data Fusion (Environmental Informatics and Modeling)",179,3,https://m.media-amazon.com/images/I/51pD-3obqVL._AC_UL320_.jpg
Greg Deckler,"DAX Cookbook: Over 120 recipes to enhance your business with analytics, reporting, and business intelligence",44,45,https://m.media-amazon.com/images/I/71ipp7X4EdL._AC_UL320_.jpg
,,50,1,https://m.media-amazon.com/images/I/71+myONuHsL._AC_UY218_.jpg
Michael Minelli,,31,67,https://m.media-amazon.com/images/I/51MINAVEKoL._AC_UY218_.jpg
,,,null,
(14 used & new offers),Analyzing the Analyzers: An Introspective Survey of Data Scientists and Their Work,9,48,https://m.media-amazon.com/images/I/91qz07pYvwL._AC_UL320_.jpg
,,,null,
(35 used & new offers),Databases Illuminated,23,50,https://m.media-amazon.com/images/I/617m0b+JI7L._AC_UL320_.jpg
(18 used & new offers),Applying Predictive Analytics: Finding Value in Data,69,48,https://m.media-amazon.com/images/I/61EiX-F3yKL._AC_UL320_.jpg
Michael Manoochehri,Data Just Right: Introduction to Large-Scale Data & Analytics (Addison-Wesley Data and Analytics),39,10,https://m.media-amazon.com/images/I/41V3LYUBiTL._AC_UL320_.jpg
,,12,"1,752",https://m.media-amazon.com/images/I/81Z7nvrGKjL._AC_UY218_.jpg
(14 used & new offers),,49,13,https://m.media-amazon.com/images/I/717jZxOaX0L._AC_UY218_.jpg
,,,null,
Chanchal Chatterjee,Introduction to Data Analytics for Accounting (International edition) Textbook only,45,2,https://m.media-amazon.com/images/I/718JDFKNABL._AC_UL320_.jpg
,,,null,
,Microsoft® SharePoint® Designer 2010 Step by Step,19,55,https://m.media-amazon.com/images/I/51irNC71a2L._AC_UL320_.jpg
Peter Pauper Press,,10,"10,214",https://m.media-amazon.com/images/I/91zNycR6lYL._AC_UY218_.jpg
,Data Science Foundations Tools and Techniques: Core Skills for Quantitative Analysis with R and Git (Addison-Wesley Data & Analytics Series),48,57,https://m.media-amazon.com/images/I/51kkZsGzq3L._AC_UL320_.jpg
Lowell Fryman,The Data Catalog: Sherlock Holmes Data Sleuthing for Analytics,49,11,https://m.media-amazon.com/images/I/71UI3Bl5xWL._AC_UL320_.jpg
Tom Taulli,,29,86,https://m.media-amazon.com/images/I/61m5AlecPTL._AC_UY218_.jpg
,,,null,
,,,null,
,,,null,
Jonathan Schwabish,Fundamentals of Data Analytics: With a View to Machine Learning,21,263,https://m.media-amazon.com/images/I/51BOxIeRTDL._AC_UL320_.jpg
Keith Jack,,67,19,https://m.media-amazon.com/images/I/510ljO41qdL._AC_UY218_.jpg
Robert F. Kennedy Jr.,,19,"22,141",https://m.media-amazon.com/images/I/71M4abh-afL._AC_UY218_.jpg
Cathy Tanimura,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,40,72,https://m.media-amazon.com/images/I/714qourw99L._AC_UL320_.jpg
(26 used & new offers),"Advanced Analytics in Power BI with R and Python: Ingesting, Transforming, Visualizing",33,35,https://m.media-amazon.com/images/I/61HUvpZJl8L._AC_UL320_.jpg
,,,null,
,,,null,
Michael R. Overly,,39,3,https://m.media-amazon.com/images/I/41YF4rfYIJL._AC_UY218_.jpg
(18 used & new offers),The Ethics of Artificial Intelligence in Education,48,72,https://m.media-amazon.com/images/I/91T-oNEQE3L._AC_UL320_.jpg
Alfons Kemper,Datenbanksysteme: Eine Einführung (De Gruyter Studium) (German Edition),54,77,https://m.media-amazon.com/images/I/718Yjo7G5IL._AC_UL320_.jpg
(31 used & new offers),Data Structures and Other Objects Using C++,44,81,https://m.media-amazon.com/images/I/41m6W3XqvZL._AC_UL320_.jpg
Nadeem Khan,Introduction to People Analytics: A Practical Guide to Data-driven HR,39,11,https://m.media-amazon.com/images/I/819ZAXnKZfL._AC_UL320_.jpg
(52 used & new offers),,13,"1,913",https://m.media-amazon.com/images/I/41W01q0kFWL._AC_UY218_.jpg
,,,null,
Seth Weidman,Deep Learning from Scratch: Building with Python from First Principles,38,84,https://m.media-amazon.com/images/I/71vAAIa10YL._AC_UL320_.jpg
,,48,608,https://m.media-amazon.com/images/I/91K7mHlgYtL._AC_UY218_.jpg
,,,null,
(13 used & new offers),,37,23,https://m.media-amazon.com/images/I/61i7B44ONjL._AC_UY218_.jpg
Jenny Dearborn,The Data Driven Leader: A Powerful Approach to Delivering Measurable Business Impact Through People Analytics,28,44,https://m.media-amazon.com/images/I/519esJ1TueL._AC_UL320_.jpg
Nenad Jukic,Database Systems: Introduction to Databases and Data Warehouses,20,103,https://m.media-amazon.com/images/I/51nEaN+V1dL._AC_UL320_.jpg
Walter R. Paczkowski,Pricing Analytics: Models and Advanced Quantitative Techniques for Product Pricing,38,16,https://m.media-amazon.com/images/I/714HvfJep7S._AC_UL320_.jpg
,,,null,
Denise Gosnell,The Practitioner's Guide to Graph Data: Applying Graph Thinking and Graph Technologies to Solve Complex Problems,41,67,https://m.media-amazon.com/images/I/81AisWiC-3L._AC_UL320_.jpg
Cory Althoff,,19,98,https://m.media-amazon.com/images/I/41temYGJxgL._AC_UY218_.jpg
,,13,"7,576",https://m.media-amazon.com/images/I/51wvE48u69L._AC_UY218_.jpg
Bill Schmarzo,"The Economics of Data, Analytics, and Digital Transformation: The theorems, laws, and empowerments to guide your organization's digital transformation",36,96,https://m.media-amazon.com/images/I/61-WscSQbyL._AC_UL320_.jpg
,R for Everyone: Advanced Analytics and Graphics (Addison-Wesley Data & Analytics Series),36,247,https://m.media-amazon.com/images/I/41NxNchrvBL._AC_UL320_.jpg
,,9,404,https://m.media-amazon.com/images/I/71yZfF+JDNL._AC_UY218_.jpg
Christian Mayer,The Book of Dash: Build Dashboards with Python and Plotly,34,1,https://m.media-amazon.com/images/I/81uTVELwiJL._AC_UL320_.jpg
Avinash Navlani,"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition",34,50,https://m.media-amazon.com/images/I/61G3pcHYGFL._AC_UL320_.jpg
Anthony Molinaro,SQL Cookbook: Query Solutions and Techniques for Database Developers (Cookbooks (O'Reilly)),81,299,https://m.media-amazon.com/images/I/919N5M6kIeL._AC_UL320_.jpg
Ann Jackson,"Tableau Strategies: Solving Real, Practical Problems with Data Analytics",29,32,https://m.media-amazon.com/images/I/81nxllSFh2L._AC_UL320_.jpg
Sowmya Vajjala,,55,147,https://m.media-amazon.com/images/I/91pDCEA5uTL._AC_UY218_.jpg
author,product_name,product_price,,product_url
Alex J. Gutman,"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",24,209,https://m.media-amazon.com/images/I/51dY5RkvW6S._AC_UL320_.jpg
,The Four Agreements (Illustrated Edition) A Practical Guide to Personal Freedom,27,"88,941",https://m.media-amazon.com/images/I/91ryfmRierL._AC_UL320_.jpg
